"exp","Training","Testing","Analysis"
"exp001_07_IDVYEAR_GLV-LSTM","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3'","'HINTS_4c4'","GLV-LSTM"
"exp001_07_IDVYEAR_GLV-FC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3'","'HINTS_4c4'","GLV-FC"
"exp001_08_IDVYEAR_LR","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4'","'HINTS_FDA'","LR"
"exp001_08_IDVYEAR_RFC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4'","'HINTS_FDA'","RFC"
"exp001_08_IDVYEAR_FC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4'","'HINTS_FDA'","FC"
"exp001_08_IDVYEAR_LSTM","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4'","'HINTS_FDA'","LSTM"
"exp001_08_IDVYEAR_GLV-LSTM","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4'","'HINTS_FDA'","GLV-LSTM"
"exp001_08_IDVYEAR_GLV-FC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4'","'HINTS_FDA'","GLV-FC"
"exp001_09_IDVYEAR_LR","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA'","'HINTS_FDA_2'","LR"
"exp001_09_IDVYEAR_RFC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA'","'HINTS_FDA_2'","RFC"
"exp001_09_IDVYEAR_FC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA'","'HINTS_FDA_2'","FC"
"exp001_09_IDVYEAR_LSTM","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA'","'HINTS_FDA_2'","LSTM"
"exp001_09_IDVYEAR_GLV-LSTM","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA'","'HINTS_FDA_2'","GLV-LSTM"
"exp001_09_IDVYEAR_GLV-FC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA'","'HINTS_FDA_2'","GLV-FC"
"exp001_10_IDVYEAR_LR","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2'","'HINTS_5c1'","LR"
"exp001_10_IDVYEAR_RFC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2'","'HINTS_5c1'","RFC"
